axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1657.0570570570571	2	0.11106640694509373	-9.346733668341709e-10	0
6283185.307179586	3048.4484484484487	1	0.7139983303613167	5.728643216080402e-10	0
6283185.307179586	1378.7787787787788	1	-0.9043978851243344	1.1055276381909546e-10	8
6283185.307179586	620.4704704704704	2	1.5707963267948966	-1.7185929648241208e-09	2
6283185.307179586	3605.005005005005	1	-0.9678644033786736	1.3969849246231156e-09	0
6283185.307179586	404.8048048048048	1	-1.0947974398873521	-9.949748743718593e-10	2
6283185.307179586	2297.097097097097	2	0.11106640694509373	-1.5075376884422123e-10	2
6283185.307179586	3090.19019019019	2	-1.2851969946503699	1.7386934673366834e-09	0
6283185.307179586	2046.6466466466468	2	1.189997217268861	1.879396984924623e-09	0
6283185.307179586	2721.4714714714714	2	-0.5553320347254684	-1.5376884422110554e-09	0
6283185.307179586	2429.2792792792793	2	0.11106640694509373	8.542713567839198e-10	0
6283185.307179586	1636.1861861861862	1	-0.7139983303613165	-1.4170854271356785e-09	0
6283185.307179586	2874.5245245245246	1	-0.5235987755982987	-1.8592964824120603e-09	0
6283185.307179586	3646.746746746747	1	1.28519699465037	-1.5577889447236183e-09	0
6283185.307179586	2637.987987987988	2	-0.3649324799624507	2.5125628140703525e-10	13
6283185.307179586	585.6856856856857	1	-0.30146596170811146	1.0954773869346736e-09	0
6283185.307179586	481.33133133133134	1	1.380396772031879	-1.7386934673366834e-09	2
6283185.307179586	2130.13013013013	1	-0.5870652938526381	5.929648241206031e-10	0
6283185.307179586	1538.788788788789	1	0.9361311442515041	-9.949748743718593e-10	0
6283185.307179586	662.2122122122122	1	0.17453292519943298	-6.331658291457286e-10	2
6283185.307179586	1121.3713713713714	2	0.11106640694509373	-1.798994974874372e-09	0
6283185.307179586	2262.3123123123123	1	0.04759988869075449	-3.5175879396984926e-10	2
6283185.307179586	1385.7357357357357	1	1.539063067667727	4.321608040201004e-10	2
6283185.307179586	3340.640640640641	1	-0.015866629563584755	3.316582914572864e-10	118084
6283185.307179586	1900.5505505505505	2	1.126530699014522	-8.743718592964824e-10	2
6283185.307179586	1441.3913913913914	2	-0.30146596170811146	1.336683417085427e-09	0
6283185.307179586	808.3083083083084	2	-0.8409313668699951	1.6783919597989952e-09	0
6283185.307179586	2297.097097097097	1	-0.7774648486156558	1.236180904522613e-09	0
6283185.307179586	2317.967967967968	1	-0.30146596170811146	-4.321608040201006e-10	110572
6283185.307179586	1907.5075075075076	1	1.126530699014522	-1.7788944723618092e-09	0
6283185.307179586	1601.4014014014015	1	-0.42839899821678995	-1.3065326633165835e-10	3
6283185.307179586	2811.911911911912	2	0.3649324799624507	6.934673366834171e-10	0
